	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
2310036O22Rik	2464	2732	3898	4216
2310037I24Rik	1005	1988	1297	1297
2310039H08Rik	52	113	110	59
2310042D19Rik	87	151	149	65
2310042E22Rik	1	0	15	22
2310043J07Rik	0	0	0	0
2310044G17Rik	884	1559	1276	675
2310044H10Rik	1000	1573	1842	1015
2310045N01Rik	450	865	540	263
2310046K01Rik	28	58	281	149
2310046O06Rik	359	580	621	475
2310047B19Rik	75	184	138	62
2310047M10Rik	168	236	338	246
2310050B05Rik	2	0	1	0
2310057J16Rik	2	9	6	1
2310057M21Rik	149	298	323	179
2310061C15Rik	218	468	832	854
2310061I04Rik	488	803	865	378
2310061J03Rik	32	86	52	36
2310067B10Rik	1605	2852	1962	1137
2310068J16Rik	0	3	0	1
2310079F23Rik	150	359	344	207
2310079N02Rik	91	172	182	67
2400001E08Rik	1569	2639	2654	1214
2400003C14Rik	1918	2934	2803	1941
2410001C21Rik	1508	2483	2480	1910
2410002F23Rik	300	453	509	276
2410002I01Rik	273	519	567	401
2410002O22Rik	574	1160	1105	646
2410003K15Rik	306	636	450	559
2410004A20Rik	11	19	23	14
2410004B18Rik	160	413	326	354
2410006H16Rik	762	921	1107	700
2410012M07Rik	0	1	1	1
2410015M20Rik	230	423	517	320
2410016O06Rik	319	583	506	393
